user_id,loan_score,device_rating,data_quality,ltv_rate,bureau_score,total_tenure,months_active,savings_score,tx_score,usage_score,airtime_score,cluster
146245,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,
248802,7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,
13873,7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,
35230,11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,
653322,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,
61550,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,
399240,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,
385139,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,
572500,7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,
59826,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,
214707,6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,
473056,7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,
670733,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,
639023,7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,
25411,8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,
314003,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,
428118,8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,
43332,8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,
133995,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,
195504,7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,
432850,8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,
466348,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,
209977,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,
188756,8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,
516160,6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,
180889,6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,
1882,7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,
317057,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,
662210,7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,
86810,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,
432124,6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,
584176,6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,
363214,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,
471161,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,
257225,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,
511336,7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,
559762,7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,
747176,8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,
567610,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,
277569,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,
484214,7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,
704800,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,
774368,7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,
654310,8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,
706675,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,
742835,4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,
200016,7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,
252019,8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,
187357,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,
347769,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,
302594,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,
501521,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,
255361,6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,
514634,8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,
766736,7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,
34220,7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,
720793,10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,
749902,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,
79415,7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,
2218,7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,
129058,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,
546625,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,
126668,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,
426904,7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,
714994,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,
608663,7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,
628295,7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,
703219,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,
700890,9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,
625815,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,
194725,7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,
774249,7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,
414194,7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,
405880,8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,
522738,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,
658362,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,
781226,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,
431015,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,
172274,6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,
172063,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,
518075,6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,
80480,7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,
725391,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,
45869,7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,
655335,6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,
731161,6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,
606217,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,
319639,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,
103837,9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,
313584,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,
574871,7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,
177652,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,
564799,8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,
442419,7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,
112605,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,
382320,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,
716637,6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,
165004,7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,
134347,7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,
55133,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,
707948,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,
240393,7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,
335514,8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,
450441,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,
227752,7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,
438339,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,
153862,7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,
283240,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,
189242,8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,
774859,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,
418943,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,
463522,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,
221774,8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,
325280,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,
203705,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,
210905,9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,
121559,8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,
748224,7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,
175644,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,
647643,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,
775819,7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,
160764,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,
96253,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,
216505,8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,
84884,7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,
144280,9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,
485748,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,
443205,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,
616598,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,
82613,6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,
589015,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,
131484,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,
685534,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,
563504,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,
141896,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,
788072,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,
323933,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,
309810,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,
192416,7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,
594226,7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,
373572,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,
308902,8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,
773506,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,
635766,6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,
421389,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,
336072,8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,
439975,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,
381627,7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,
530262,6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,
507808,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,
15636,7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,
181020,9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,
596207,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,
507059,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,
104495,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,
422999,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,
679129,7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,
670221,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,
58505,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,
641477,6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,
159997,7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,
179080,7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,
547693,7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,
152534,7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,
498464,7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,
279906,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,
508128,6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,
271488,7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,
341589,6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,
589540,7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,
584596,7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,
112869,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,
30095,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,
97565,7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,
150356,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,
480468,6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,
53153,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,
426599,7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,
132168,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,
663046,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,
391890,8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,
418650,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,
247872,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,
183845,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,
81100,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,
456190,8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,
288863,7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,
561790,7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,
474016,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,
168341,7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,
688656,8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,
625715,6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,
585368,6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,
106669,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,
199108,7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,
458856,7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,
731693,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,
166342,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,
12929,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,
143342,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,
431598,9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,
386203,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,
539157,6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,
672634,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,
33998,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,
125536,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,
37626,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,
1449,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,
758909,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,
761431,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,
138020,9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,
531570,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,
766135,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,
544062,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,
157628,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,
591054,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,
211819,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,
747395,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,
271409,7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,
677079,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,
702455,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,
702846,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,
501906,6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,
263639,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,
223968,8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,
23958,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,
247864,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,
546646,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,
172033,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,
497156,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,
396459,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,
601895,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,
465027,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,
499809,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,
472105,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,
274902,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,
60173,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,
252039,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,
272592,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,
483470,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,
196931,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,
699014,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,
448585,7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,
784072,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,
705508,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,
679882,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,
216002,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,
691519,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,
775215,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,
35578,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,
345428,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,
400136,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,
98050,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,
763341,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,
637861,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,
432533,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,
718823,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,
466064,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,
135526,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,
171039,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,
625280,7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,
404097,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,
88804,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,
478220,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,
479480,12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,
188670,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,
796901,8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,
